Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E03",Rare Event Detection,"RED","AA210425S-",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,1,874,0,1,2,872,0,875,,,,,,,,,,,,,,,,,,1,1,6379,6931.5,2750.8,2755.6,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"E04",Rare Event Detection,"RED","AA210425S-",Ch1Unknown,"N1","Manual",1.7,One-Step RT-ddPCR Kit for Probes,34,,,3.5,1.1,6,4126,6,0,1,4125,1.71,4132,,,,,,,,0.9,,,1.8,0,46,,,74,18,1,1,6379,11299,3113.9,3125.8,"Rare Event Detection Experiment",,,,2.5,0,,,,,,,1.34,0.37,,,60,32,
"E05",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",57.6,One-Step RT-ddPCR Kit for Probes,1152,,,61.7,55.5,765,15248,741,24,1,15247,55.7,16013,,,,,,,,,,,,,,,,,,1,1,6379,15526,2569.3,3188.3,"Rare Event Detection Experiment",,,,60,0,,,,,,,,,,,,,
"E06",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"N1","Manual",67.5,One-Step RT-ddPCR Kit for Probes,1350,,,71.6,65.4,1037,17567,1029,8,1,17566,66.9,18604,,,,,,,,,,,,,,,,,,1,1,6379,16836,2782.2,3565.6,"Rare Event Detection Experiment",,,,70,0,,,,,,,,,,,,,
"E07",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19721,0,0,0,19721,0,19721,,,,,,,,,,,,,,,,,,1,1,6379,0,2818.9,2818.9,"Rare Event Detection Experiment",,,,0.082,0,,,,,,,,,,,,,
"E08",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0.11,One-Step RT-ddPCR Kit for Probes,2.2,,,0.35,0.05,2,21718,1,1,0,21718,0.0542,21720,,,,,,,,,,,,,,,,,,1,1,6379,8506,2576.5,2577,"Rare Event Detection Experiment",,,,0.21,0,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","AA210426S",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,6379,0,0,0,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"F02",Rare Event Detection,"RED","AA210426S",Ch1Unknown,"N1","Manual",1.3,One-Step RT-ddPCR Kit for Probes,26,,,2.1,1,15,13524,14,1,0,13524,1.22,13539,,,,,,,,1.1,,,1.9,0.3,52,,,70,33,1,1,6379,10774,3013.5,3022.1,"Rare Event Detection Experiment",,,,1.7,0,,,,,,,1.47,0.67,,,61,42,
"F03",Rare Event Detection,"RED","AA210426S-",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,866,0,0,1,865,0,866,,,,,,,,,,,,,,,,,,1,1,6379,0,1865.6,1865.6,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"F04",Rare Event Detection,"RED","AA210426S-",Ch1Unknown,"N1","Manual",0.73,One-Step RT-ddPCR Kit for Probes,14.6,,,1.37,0.5,8,12905,7,1,1,12904,0.638,12913,,,,,,,,1,,,2,0,50,,,75,25,1,1,6379,10496,2954,2958.7,"Rare Event Detection Experiment",,,,1,0,,,,,,,1.5,0.5,,,63,37,
