Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A03",Rare Event Detection,"RED","YC210224S-",Ch2Unknown,"N2","Manual",0.27,One-Step RT-ddPCR Kit for Probes,5.4,,,0.64,0.08,4,17424,4,0,0,17424,0.27,17428,,,,,,,,1,,,2.5,0,50,,,86,14,1,1,942,1251.8,676.5,676.63,"Rare Event Detection Experiment",,,,0.43,0.16,,,,,,,1.7,0.3,,,68,32,
"A04",Rare Event Detection,"RED","YC210224S-",Ch2Unknown,"N2","Manual",0.48,One-Step RT-ddPCR Kit for Probes,9.6,,,0.94,0.21,7,17029,7,1,0,17028,0.484,17036,,,,,,,,1.1,,,2.3,0,53,,,79,27,1,1,942,1187.7,659.4,659.62,"Rare Event Detection Experiment",,,,0.69,0.32,,,,,,,1.7,0.5,,,66,40,
"B01",Rare Event Detection,"RED","YC210225S",Ch2Unknown,"N2","Manual",0.17,One-Step RT-ddPCR Kit for Probes,3.4,,,0.55,0.03,2,13645,2,1,0,13644,0.172,13647,,,,,,,,1.5,,,4.4,0,60,,,107,13,1,1,942,1197,681.91,681.98,"Rare Event Detection Experiment",,,,0.33,0.07,,,,,,,2.9,0.1,,,83,37,
"B02",Rare Event Detection,"RED","YC210225S",Ch2Unknown,"N2","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.7,0.5,10,12044,10,0,0,12044,0.976,12054,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,942,1300.9,677.68,678.19,"Rare Event Detection Experiment",,,,1.32,0.7,,,,,,,1.45,0.55,,,61,39,
"B03",Rare Event Detection,"RED","YC210225S-",Ch2Unknown,"N2","Manual",0.52,One-Step RT-ddPCR Kit for Probes,10.4,,,1.06,0.2,6,13621,6,1,0,13620,0.518,13627,,,,,,,,1.2,,,2.5,0,54,,,82,26,1,1,942,1349,676.7,676.99,"Rare Event Detection Experiment",,,,0.76,0.33,,,,,,,1.8,0.5,,,68,40,
"B04",Rare Event Detection,"RED","YC210225S-",Ch2Unknown,"N2","Manual",0.79,One-Step RT-ddPCR Kit for Probes,15.8,,,1.33,0.42,12,17843,12,1,0,17842,0.791,17855,,,,,,,,1.1,,,1.9,0.2,52,,,72,32,1,1,942,1146.8,660.25,660.58,"Rare Event Detection Experiment",,,,1.04,0.58,,,,,,,1.52,0.65,,,62,42,
"C01",Rare Event Detection,"RED","YC210325S-",Ch2Unknown,"N2","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.6,15,15843,15,0,0,15843,1.11,15858,,,,,,,,1,,,1.7,0.3,50,,,68,32,1,1,942,1235.6,684.47,684.99,"Rare Event Detection Experiment",,,,1.43,0.85,,,,,,,1.37,0.63,,,59,41,
"C02",Rare Event Detection,"RED","YC210325S-",Ch2Unknown,"N2","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,5.4,1,6,2689,0,0,6,2689,0,2695,,,,,,,,,,,,,,,,,,1,1,965,1052.4,629.14,630.09,"Rare Event Detection Experiment",,,,3.9,1.7,,,,,,,,,,,,,
"C03",Rare Event Detection,"RED","YC210325S-",Ch2Unknown,"N2","Manual",0.47,One-Step RT-ddPCR Kit for Probes,9.4,,,0.92,0.2,7,17348,7,0,0,17348,0.475,17355,,,,,,,,1,,,2.1,0,50,,,77,23,1,1,942,1337,669.91,670.18,"Rare Event Detection Experiment",,,,0.68,0.32,,,,,,,1.5,0.5,,,64,36,
"C04",Rare Event Detection,"RED","YC210325S-",Ch2Unknown,"N2","Manual",0.9,One-Step RT-ddPCR Kit for Probes,18,,,1.5,0.5,11,14555,11,1,0,14554,0.889,14566,,,,,,,,1.1,,,2,0.2,52,,,73,31,1,1,942,1248.8,655.4,655.84,"Rare Event Detection Experiment",,,,1.19,0.65,,,,,,,1.55,0.63,,,63,42,
"D01",Rare Event Detection,"RED","YC210326S",Ch2Unknown,"N2","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.23,0,0,15274,0,0,0,15274,0,15274,,,,,,,,,,,,,,,,,,1,1,942,0,671.13,671.13,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"D02",Rare Event Detection,"RED","YC210326S",Ch2Unknown,"N2","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.25,0,0,14237,0,0,0,14237,0,14237,,,,,,,,,,,,,,,,,,1,1,942,0,671.4,671.4,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"D03",Rare Event Detection,"RED","YC210326S-",Ch2Unknown,"N2","Manual",0.62,One-Step RT-ddPCR Kit for Probes,12.4,,,1.12,0.29,9,17200,9,2,0,17198,0.615,17209,,,,,,,,1.2,,,2.3,0.1,55,,,77,33,1,1,942,1241.3,670.44,670.74,"Rare Event Detection Experiment",,,,0.85,0.43,,,,,,,1.8,0.7,,,66,44,
"D04",Rare Event Detection,"RED","YC210326S-",Ch2Unknown,"N2","Manual",0.71,One-Step RT-ddPCR Kit for Probes,14.2,,,1.28,0.34,9,15002,9,1,0,15001,0.706,15011,,,,,,,,1.1,,,2.1,0.1,53,,,76,30,1,1,942,1329.6,655.72,656.12,"Rare Event Detection Experiment",,,,0.97,0.5,,,,,,,1.6,0.6,,,64,41,
"E01",Rare Event Detection,"RED","POS 1",Ch2Positive Control,"N2","Manual",74.3,One-Step RT-ddPCR Kit for Probes,1486,,,78.8,69.8,1052,16144,1049,4,3,16140,74,17196,,,,,,,,,,,,,,,,,,1,1,942,1780.3,676.43,743.96,"Rare Event Detection Experiment",,,,76.6,72,,,,,,,,,,,,,
"E02",Rare Event Detection,"RED","POS 3",Ch2Positive Control,"N2","Manual",67,One-Step RT-ddPCR Kit for Probes,1340,,,72,62,680,11598,679,4,1,11594,66.9,12278,,,,,,,,,,,,,,,,,,1,1,942,1772.7,673.07,733.97,"Rare Event Detection Experiment",,,,69.6,64.5,,,,,,,,,,,,,
"E03",Rare Event Detection,"RED","NEG 2",Ch2Negative Control,"N2","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.29,0,0,12303,0,0,0,12303,0,12303,,,,,,,,,,,,,,,,,,1,1,942,0,677.24,677.24,"Rare Event Detection Experiment",,,,0.13,0,,,,,,,,,,,,,
"E04",Rare Event Detection,"RED","NTC",Ch2NTC,"N2","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.22,0,0,16282,0,0,0,16282,0,16282,,,,,,,,,,,,,,,,,,1,1,942,0,647.4,647.4,"Rare Event Detection Experiment",,,,0.099,0,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","POS 1",Ch2Positive Control,"N2","Manual",74.2,One-Step RT-ddPCR Kit for Probes,1484,,,78.9,69.6,973,14943,969,4,4,14939,73.9,15916,,,,,,,,,,,,,,,,,,1,1,942,1805.3,686.15,754.57,"Rare Event Detection Experiment",,,,76.6,71.8,,,,,,,,,,,,,
