Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B05",Rare Event Detection,"RED","YC210112S",Ch1Unknown,"N1","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.2,1.5,30,15601,30,0,0,15601,2.26,15631,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,8015,13552,4196.3,4214.3,"Rare Event Detection Experiment",,,,2.7,1.87,,,,,,,1.26,0.74,,,56,44,
"C05",Rare Event Detection,"RED","YC210113S",Ch1Unknown,"N1","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.4,1.8,40,18416,40,0,0,18416,2.55,18456,,,,,,,,1,,,1.44,0.56,50,,,61,39,1,1,8015,13371,4032.4,4052.7,"Rare Event Detection Experiment",,,,2.98,2.17,,,,,,,1.22,0.78,,,56,44,
"D05",Rare Event Detection,"RED","YC210114S",Ch1Unknown,"N1","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.7,52,17272,43,9,0,17272,2.92,17324,,,,,,,,1.21,,,1.7,0.72,55,,,65,45,1,1,8015,11925,3837.1,3861.4,"Rare Event Detection Experiment",,,,4.05,3.07,,,,,,,1.46,0.96,,,60,50,
"E05",Rare Event Detection,"RED","YC210128S",Ch1Unknown,"N1","Manual",1.4,One-Step RT-ddPCR Kit for Probes,28,,,2.3,0.8,15,12166,15,0,0,12166,1.45,12181,,,,,,,,1,,,1.7,0.3,50,,,68,32,1,1,8015,12798,3914,3924.9,"Rare Event Detection Experiment",,,,1.86,1.11,,,,,,,1.37,0.63,,,59,41,
"F05",Rare Event Detection,"RED","YC210129S",Ch1Unknown,"N1","Manual",1.4,One-Step RT-ddPCR Kit for Probes,28,,,2.1,0.8,17,14785,17,0,0,14785,1.35,14802,,,,,,,,1,,,1.7,0.3,50,,,67,33,1,1,8015,13045,3833.8,3844.3,"Rare Event Detection Experiment",,,,1.71,1.05,,,,,,,1.34,0.66,,,59,41,
"G05",Rare Event Detection,"RED","YC210217S",Ch1Unknown,"N1","Manual",0.51,One-Step RT-ddPCR Kit for Probes,10.2,,,1.03,0.2,6,13971,5,1,0,13971,0.421,13977,,,,,,,,1.2,,,2.7,0,55,,,85,24,1,1,8015,12762,3783.1,3787,"Rare Event Detection Experiment",,,,0.74,0.32,,,,,,,1.9,0.5,,,70,39,
"H05",Rare Event Detection,"RED","YC210218S",Ch1Unknown,"N1","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.7,1.2,22,14130,20,2,0,14130,1.66,14152,,,,,,,,1.1,,,1.8,0.4,52,,,68,37,1,1,8015,12133,3748.6,3761.7,"Rare Event Detection Experiment",,,,2.25,1.47,,,,,,,1.44,0.76,,,60,45,
"A06",Rare Event Detection,"RED","YC210111S",Ch1Unknown,"N1","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.7,3.5,66,17222,66,0,0,17222,4.5,17288,,,,,,,,1,,,1.34,0.66,50,,,59,41,1,1,8015,13041,3938.8,3973.6,"Rare Event Detection Experiment",,,,5.1,4,,,,,,,1.17,0.83,,,54.3,45.7,
"B06",Rare Event Detection,"RED","YC210112S",Ch1Unknown,"N1","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2,39,16057,39,0,0,16057,2.85,16096,,,,,,,,1,,,1.45,0.55,50,,,61,39,1,1,8015,13140,3941,3963.3,"Rare Event Detection Experiment",,,,3.33,2.42,,,,,,,1.23,0.77,,,56,44,
"C06",Rare Event Detection,"RED","YC210113S",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.6,2,41,17721,40,1,0,17721,2.65,17762,,,,,,,,1.03,,,1.47,0.58,51,,,62,40,1,1,8015,12721,3878.5,3898.9,"Rare Event Detection Experiment",,,,3.16,2.32,,,,,,,1.25,0.8,,,56,45,
"D06",Rare Event Detection,"RED","YC210114S",Ch1Unknown,"N1","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.4,2.9,38,11117,30,8,0,11117,3.17,11155,,,,,,,,1.3,,,1.9,0.7,56,,,68,44,1,1,8015,11893,3736.2,3764,"Rare Event Detection Experiment",,,,4.7,3.4,,,,,,,1.58,0.96,,,62,50,
"E06",Rare Event Detection,"RED","YC210128S",Ch1Unknown,"N1","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.2,1.6,32,16291,32,0,0,16291,2.31,16323,,,,,,,,1,,,1.49,0.51,50,,,62,38,1,1,8015,12472,3972.5,3989.2,"Rare Event Detection Experiment",,,,2.74,1.92,,,,,,,1.25,0.75,,,56,44,
"F06",Rare Event Detection,"RED","YC210129S",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.7,0.6,13,14791,13,0,0,14791,1.03,14804,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,8015,12795,3911.1,3918.9,"Rare Event Detection Experiment",,,,1.35,0.77,,,,,,,1.39,0.61,,,60,40,
"G06",Rare Event Detection,"RED","YC210217S",Ch1Unknown,"N1","Manual",0.59,One-Step RT-ddPCR Kit for Probes,11.8,,,1.11,0.27,8,15887,8,0,0,15887,0.592,15895,,,,,,,,1,,,2,0,50,,,75,25,1,1,8015,12962,3881.6,3886.2,"Rare Event Detection Experiment",,,,0.83,0.41,,,,,,,1.5,0.5,,,63,37,
