Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"D04",Rare Event Detection,"RED","YC210105S-",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.3,2.4,46,16735,1,45,796,15939,0,16781,,,,,,,,0.056,,,0.073,0.04,5.3,,,6.9,3.8,1,1,5446,10325,2311.4,2333.4,"Rare Event Detection Experiment",,,,3.73,2.78,,,,,,,0.065,0.048,,,6.1,4.6,
"D05",Rare Event Detection,"RED","YC210122S",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.6,2.7,52,17092,3,49,922,16170,0.0141,17144,,,,,,,,0.055,,,0.07,0.039,5.2,,,6.6,3.8,1,1,5446,9918.8,2228.8,2252.1,"Rare Event Detection Experiment",,,,4.09,3.1,,,,,,,0.063,0.047,,,5.9,4.5,
"D06",Rare Event Detection,"RED","YC210122S",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5.1,2.9,51,15304,7,44,874,14430,0.332,15355,,,,,,,,0.056,,,0.072,0.04,5.3,,,6.8,3.9,1,1,5446,10012,2286.6,2312.2,"Rare Event Detection Experiment",,,,4.5,3.4,,,,,,,0.064,0.048,,,6.1,4.6,
"D07",Rare Event Detection,"RED","YC210122S-",Ch1Unknown,"BCoV","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.3,2.4,49,17666,4,45,1023,16643,0.082,17715,,,,,,,,0.046,,,0.06,0.033,4.4,,,5.7,3.2,1,1,5446,10017,2254.9,2276.4,"Rare Event Detection Experiment",,,,3.75,2.82,,,,,,,0.053,0.04,,,5.1,3.8,
"D08",Rare Event Detection,"RED","YC210122S-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.6,51,17405,3,48,1057,16348,0,17456,,,,,,,,0.047,,,0.06,0.034,4.5,,,5.7,3.3,1,1,5446,10404,2378.6,2402,"Rare Event Detection Experiment",,,,3.95,2.98,,,,,,,0.053,0.04,,,5.1,3.9,
"D09",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"BCoV","Manual",0.07,One-Step RT-ddPCR Kit for Probes,1.4,,,0.34,0,1,16550,1,0,16550,0,0,16551,,,,,,,,,,,,,,,,,,1,1,5446,5787.6,2351.9,2352.1,"Rare Event Detection Experiment",,,,0.18,0.02,,,,,,,,,,,,,
"D10",Rare Event Detection,"RED","BCoV 2",Ch1Positive Control,"BCoV","Manual",2549,One-Step RT-ddPCR Kit for Probes,50980,,,2599,2501,15263,1975,2,15261,0,1975,0.137,17238,,,,,,,,,,,,,,,,,,1,1,5446,10558,2315.1,9613.8,"Rare Event Detection Experiment",,,,2574,2524,,,,,,,,,,,,,
"E01",Rare Event Detection,"RED","YC210106S",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,48,16091,2,46,699,15392,0,16139,,,,,,,,0.067,,,0.087,0.047,6.3,,,8,4.6,1,1,5446,10722,2327.6,2352.6,"Rare Event Detection Experiment",,,,4,3,,,,,,,0.077,0.057,,,7.2,5.4,
"E02",Rare Event Detection,"RED","YC210106S",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.3,2.3,43,15703,1,42,642,15061,0,15746,,,,,,,,0.066,,,0.086,0.045,6.2,,,7.9,4.4,1,1,5446,10487,2315.8,2338.1,"Rare Event Detection Experiment",,,,3.73,2.75,,,,,,,0.076,0.055,,,7.1,5.2,
"E03",Rare Event Detection,"RED","YC210106S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,4,2.1,35,14109,2,33,592,13517,0.0461,14144,,,,,,,,0.058,,,0.078,0.038,5.5,,,7.2,3.7,1,1,5446,10351,2297.2,2317.2,"Rare Event Detection Experiment",,,,3.43,2.45,,,,,,,0.068,0.048,,,6.4,4.6,
"E04",Rare Event Detection,"RED","YC210106S-",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,4.1,2.1,36,14182,2,34,510,13672,0.0605,14218,,,,,,,,0.069,,,0.093,0.046,6.5,,,8.5,4.4,1,1,5446,10521,2346.7,2367.4,"Rare Event Detection Experiment",,,,3.51,2.51,,,,,,,0.081,0.057,,,7.5,5.4,
"E05",Rare Event Detection,"RED","YC210201S",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.3,48,18189,3,45,719,17470,0.0741,18237,,,,,,,,0.065,,,0.084,0.046,6.1,,,7.8,4.4,1,1,5446,10138,2310.4,2331,"Rare Event Detection Experiment",,,,3.57,2.68,,,,,,,0.075,0.056,,,7,5.3,
"E06",Rare Event Detection,"RED","YC210201S",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.7,2.5,41,13669,2,39,591,13078,0.0204,13710,,,,,,,,0.068,,,0.089,0.046,6.3,,,8.2,4.5,1,1,5446,10205,2291.3,2314.9,"Rare Event Detection Experiment",,,,4.1,3,,,,,,,0.079,0.057,,,7.3,5.4,
"E07",Rare Event Detection,"RED","YC210201S-",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.3,3.1,57,16288,2,55,559,15729,0.00326,16345,,,,,,,,0.1,,,0.127,0.073,9.1,,,11.4,6.8,1,1,5446,10037,2234.9,2262.1,"Rare Event Detection Experiment",,,,4.7,3.6,,,,,,,0.114,0.086,,,10.2,7.9,
"E08",Rare Event Detection,"RED","YC210201S-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.3,2.6,58,20293,1,57,781,19512,0,20351,,,,,,,,0.073,,,0.092,0.053,6.8,,,8.5,5.1,1,1,5446,10120,2285,2307.3,"Rare Event Detection Experiment",,,,3.82,2.94,,,,,,,0.083,0.063,,,7.6,5.9,
"E09",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.24,0,0,14540,0,0,4,14536,0,14540,,,,,,,,,,,,,,,,,,1,1,5446,0,3337.6,3337.6,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"E10",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18878,0,0,7,18871,0,18878,,,,,,,,,,,,,,,,,,1,1,5446,0,1808.9,1808.9,"Rare Event Detection Experiment",,,,0.085,0,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","YC210107S",Ch1Unknown,"BCoV","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.4,2.4,46,16320,1,45,571,15749,0,16366,,,,,,,,0.079,,,0.103,0.055,7.3,,,9.4,5.3,1,1,5446,10708,2339.9,2363.5,"Rare Event Detection Experiment",,,,3.82,2.85,,,,,,,0.091,0.067,,,8.4,6.3,
"F02",Rare Event Detection,"RED","YC210107S",Ch1Unknown,"BCoV","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.2,1.6,35,17617,2,33,642,16975,0.0501,17652,,,,,,,,0.053,,,0.072,0.035,5.1,,,6.7,3.4,1,1,5446,10614,2332.7,2349.1,"Rare Event Detection Experiment",,,,2.75,1.96,,,,,,,0.063,0.044,,,5.9,4.2,
"F03",Rare Event Detection,"RED","YC210107S-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.6,49,16746,1,48,550,16196,0,16795,,,,,,,,0.088,,,0.113,0.062,8.1,,,10.2,5.9,1,1,5446,10626,2363,2387.1,"Rare Event Detection Experiment",,,,3.95,2.97,,,,,,,0.101,0.075,,,9.2,7,
