Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"D06",Rare Event Detection,"RED","AA210414S",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.4,3,56,19293,2,54,1368,17925,0,19349,,,,,,,,0.039,,,0.05,0.029,3.8,,,4.8,2.8,1,1,4151,9588.6,2138.9,2160.5,"Rare Event Detection Experiment",,,,3.9,0,,,,,,,0.045,0.034,,,4.29,3.3,
"D07",Rare Event Detection,"RED","AA210415S-",Ch1Unknown,"BCoV","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.2,2.8,53,19097,9,44,1371,17726,0.344,19150,,,,,,,,0.037,,,0.047,0.027,3.6,,,4.5,2.6,1,1,4151,9821.2,2196.2,2217.3,"Rare Event Detection Experiment",,,,3.7,0,,,,,,,0.042,0.032,,,4.05,3.09,
"D08",Rare Event Detection,"RED","AA210415S-",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.4,2.2,43,20050,4,39,1281,18769,0.0784,20093,,,,,,,,0.032,,,0.042,0.023,3.1,,,4.1,2.2,1,1,4151,9511.6,2096.8,2112.7,"Rare Event Detection Experiment",,,,2.9,0,,,,,,,0.037,0.027,,,3.61,2.67,
"D09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",7.8,One-Step RT-ddPCR Kit for Probes,156,,,9.2,7.1,123,18449,123,0,18449,0,0,18572,,,,,,,,,,,,,,,,,,1,1,4151,7724.6,2129.3,2166.3,"Rare Event Detection Experiment",,,,8.5,0,,,,,,,,,,,,,
"D10",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"BCoV","Manual",0.49,One-Step RT-ddPCR Kit for Probes,9.8,,,0.91,0.33,8,19343,0,8,50,19293,0,19351,,,,,,,,,,,,,,,,,,1,1,4151,10141,2246,2249.3,"Rare Event Detection Experiment",,,,0.68,0,,,,,,,,,,,,,
"D11",Rare Event Detection,"RED","BCoV 1",Ch1Positive Control,"BCoV","Manual",0.92,One-Step RT-ddPCR Kit for Probes,18.4,,,1.46,0.71,16,20365,0,16,51,20314,0,20381,,,,,,,,,,,,,,,,,,1,1,4151,10008,2203.6,2209.8,"Rare Event Detection Experiment",,,,1.2,0,,,,,,,,,,,,,
"D12",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.46,One-Step RT-ddPCR Kit for Probes,9.2,,,0.89,0.3,7,17988,0,7,56,17932,0,17995,,,,,,,,,,,,,,,,,,1,1,4151,9534.7,2078,2080.9,"Rare Event Detection Experiment",,,,0.65,0,,,,,,,,,,,,,
"E01",Rare Event Detection,"RED","AA210405S-",Ch1Unknown,"BCoV","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.7,4,64,16607,10,54,1676,14931,0.278,16671,,,,,,,,0.036,,,0.045,0.027,3.5,,,4.3,2.6,1,1,4151,9669.8,2043.8,2073.1,"Rare Event Detection Experiment",,,,5.1,0,,,,,,,0.0407,0.0315,,,3.91,3.05,
"E02",Rare Event Detection,"RED","AA210405S-",Ch1Unknown,"BCoV","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.4,3.8,71,19390,9,62,2033,17357,0.105,19461,,,,,,,,0.033,,,0.041,0.025,3.2,,,3.9,2.5,1,1,4151,9801.1,2113.1,2141.1,"Rare Event Detection Experiment",,,,4.8,0,,,,,,,0.0369,0.029,,,3.56,2.82,
"E03",Rare Event Detection,"RED","AA210405S",Ch1Unknown,"BCoV","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.4,3.8,71,19276,12,59,1912,17364,0.335,19347,,,,,,,,0.035,,,0.043,0.027,3.4,,,4.2,2.6,1,1,4151,9820.1,2193.8,2221.8,"Rare Event Detection Experiment",,,,4.9,0,,,,,,,0.0393,0.0309,,,3.79,3,
"E04",Rare Event Detection,"RED","AA210405S",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.4,3,57,19393,7,50,1883,17510,0.0982,19450,,,,,,,,0.029,,,0.036,0.021,2.8,,,3.5,2.1,1,1,4151,9734.7,2139.3,2161.6,"Rare Event Detection Experiment",,,,3.9,0,,,,,,,0.0326,0.0249,,,3.15,2.43,
"E05",Rare Event Detection,"RED","AA210415S",Ch1Unknown,"BCoV","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.6,2.4,46,19632,7,39,1333,18299,0.249,19678,,,,,,,,0.033,,,0.043,0.023,3.2,,,4.1,2.3,1,1,4151,9623.8,2195,2212.4,"Rare Event Detection Experiment",,,,3.2,0,,,,,,,0.0382,0.0282,,,3.68,2.75,
