Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E07",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0.39,One-Step RT-ddPCR Kit for Probes,7.8,,,0.84,0.24,5,15182,1,4,46,15136,0.0765,15187,,,,,,,,,,,,,,,,,,1,1,3594,7343.5,2256.9,2258.6,"Rare Event Detection Experiment",,,,0.59,0,,,,,,,,,,,,,
"E08",Rare Event Detection,"RED","BCoV 1",Ch1Positive Control,"BCoV","Manual",0.65,One-Step RT-ddPCR Kit for Probes,13,,,1.18,0.46,9,16192,1,8,66,16126,0.0702,16201,,,,,,,,,,,,,,,,,,1,1,3594,7344.4,2100.3,2103.2,"Rare Event Detection Experiment",,,,0.9,0,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","AA210426S",Ch1Unknown,"BCoV","Manual",5.4,One-Step RT-ddPCR Kit for Probes,108,,,6.6,4.8,88,19158,9,79,1447,17711,0.156,19246,,,,,,,,0.058,,,0.071,0.046,5.5,,,6.6,4.4,1,1,3594,8149.7,2144.9,2172.3,"Rare Event Detection Experiment",,,,6,0,,,,,,,0.065,0.052,,,6.1,4.9,
"F02",Rare Event Detection,"RED","AA210426S",Ch1Unknown,"BCoV","Manual",4.7,One-Step RT-ddPCR Kit for Probes,94,,,6.1,4.1,56,13875,3,53,1055,12820,0,13931,,,,,,,,0.051,,,0.065,0.037,4.9,,,6.1,3.6,1,1,3594,8195.3,2190.9,2215,"Rare Event Detection Experiment",,,,5.4,0,,,,,,,0.058,0.044,,,5.5,4.2,
"F03",Rare Event Detection,"RED","AA210426S-",Ch1Unknown,"BCoV","Manual",5.5,One-Step RT-ddPCR Kit for Probes,110,,,6.6,4.9,97,20783,7,90,1490,19293,0.00278,20880,,,,,,,,0.063,,,0.075,0.05,5.9,,,7,4.7,1,1,3594,8078,2117.4,2145.1,"Rare Event Detection Experiment",,,,6.1,0,,,,,,,0.069,0.056,,,6.5,5.3,
"F04",Rare Event Detection,"RED","AA210426S-",Ch1Unknown,"BCoV","Manual",5,One-Step RT-ddPCR Kit for Probes,100,,,6.2,4.5,79,18409,8,71,1356,17053,0.15,18488,,,,,,,,0.056,,,0.069,0.043,5.3,,,6.4,4.1,1,1,3594,8134.6,2136.5,2162.1,"Rare Event Detection Experiment",,,,5.6,0,,,,,,,0.062,0.049,,,5.9,4.7,
"F05",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",6.4,One-Step RT-ddPCR Kit for Probes,128,,,7.6,5.8,114,20850,114,0,20850,0,0,20964,,,,,,,,,,,,,,,,,,1,1,3594,8109,2159.2,2191.6,"Rare Event Detection Experiment",,,,7,0,,,,,,,,,,,,,
"F06",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"BCoV","Manual",10.3,One-Step RT-ddPCR Kit for Probes,206,,,11.9,9.5,159,18118,159,0,18118,0,0,18277,,,,,,,,,,,,,,,,,,1,1,3594,8083.2,2185.4,2236.7,"Rare Event Detection Experiment",,,,11,0,,,,,,,,,,,,,
"F07",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0.3,One-Step RT-ddPCR Kit for Probes,6,,,0.71,0.17,4,15606,0,4,42,15564,0,15610,,,,,,,,,,,,,,,,,,1,1,3594,7480.8,2251.3,2252.7,"Rare Event Detection Experiment",,,,0.48,0,,,,,,,,,,,,,
"F08",Rare Event Detection,"RED","BCoV 1",Ch1Positive Control,"BCoV","Manual",0.79,One-Step RT-ddPCR Kit for Probes,15.8,,,1.32,0.58,12,17941,0,12,59,17882,0,17953,,,,,,,,,,,,,,,,,,1,1,3594,8066,2147,2150.9,"Rare Event Detection Experiment",,,,1,0,,,,,,,,,,,,,
"G01",Rare Event Detection,"RED","AA210427S",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.1,3.5,64,18806,3,61,1357,17449,0,18870,,,,,,,,0.045,,,0.057,0.034,4.3,,,5.4,3.3,1,1,3594,8006,2035.4,2055.6,"Rare Event Detection Experiment",,,,4.5,0,,,,,,,0.051,0.04,,,4.9,3.8,
"G02",Rare Event Detection,"RED","AA210427S",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.2,3.5,53,15579,5,48,1036,14543,0.119,15632,,,,,,,,0.049,,,0.063,0.036,4.7,,,5.9,3.5,1,1,3594,7966.4,2150.6,2170.3,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.056,0.042,,,5.3,4.1,
"G03",Rare Event Detection,"RED","AA210427S-",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.2,3.5,53,15644,5,48,1547,14097,0,15697,,,,,,,,0.032,,,0.041,0.024,3.1,,,4,2.3,1,1,3594,7935.9,2075.4,2095.1,"Rare Event Detection Experiment",,,,4.5,0,,,,,,,0.037,0.028,,,3.57,2.72,
"G04",Rare Event Detection,"RED","AA210427S-",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.2,3.6,65,18680,5,60,1260,17420,0.0414,18745,,,,,,,,0.05,,,0.062,0.037,4.7,,,5.9,3.6,1,1,3594,8041.6,2144.6,2165.1,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.056,0.043,,,5.3,4.2,
"G05",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"BCoV","Manual",8.4,One-Step RT-ddPCR Kit for Probes,168,,,9.9,7.7,127,17717,127,0,17717,0,0,17844,,,,,,,,,,,,,,,,,,1,1,3594,8328.1,2130.5,2174.6,"Rare Event Detection Experiment",,,,9.1,0,,,,,,,,,,,,,
"G06",Rare Event Detection,"RED","BCoV 3",Ch1Positive Control,"BCoV","Manual",9.7,One-Step RT-ddPCR Kit for Probes,194,,,11.2,8.9,161,19446,1,160,76,19370,0.0223,19607,,,,,,,,,,,,,,,,,,1,1,3594,8067.6,2118.4,2167.2,"Rare Event Detection Experiment",,,,10,0,,,,,,,,,,,,,
"G07",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"BCoV","Manual",0.26,One-Step RT-ddPCR Kit for Probes,5.2,,,0.61,0.15,4,18176,0,4,54,18122,0,18180,,,,,,,,,,,,,,,,,,1,1,3594,7644.3,2200.5,2201.7,"Rare Event Detection Experiment",,,,0.41,0,,,,,,,,,,,,,
