Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B04",Rare Event Detection,"RED","YC210208S-",Ch2Unknown,"PMMoV","Manual",32.5,One-Step RT-ddPCR Kit for Probes,650,,,35.5,29.5,455,16244,2,19,453,16225,0.104,16699,,,,,,,,0.046,,,0.066,0.025,4.4,,,6.2,2.5,1,1,2352,3074.4,1681.4,1719.3,"Rare Event Detection Experiment",,,,34,31,,,,,,,0.056,0.035,,,5.3,3.4,
"B05",Rare Event Detection,"RED","BCoV 1",Ch2Negative Control,"PMMoV","Manual",0.18,One-Step RT-ddPCR Kit for Probes,3.6,,,0.49,0.04,3,19247,2,17488,1,1759,0,19250,,,,,,,,,,,,,,,,,,1,1,2352,2974.2,1671.3,1671.5,"Rare Event Detection Experiment",,,,0.31,0.1,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","YC210209S",Ch2Unknown,"PMMoV","Manual",34,One-Step RT-ddPCR Kit for Probes,680,,,37,31,485,16553,0,39,485,16514,0,17038,,,,,,,,0.079,,,0.105,0.053,7.4,,,9.6,5.1,1,1,2352,3225.2,1765.8,1807.3,"Rare Event Detection Experiment",,,,35.5,32.4,,,,,,,0.093,0.066,,,8.5,6.2,
"C02",Rare Event Detection,"RED","YC210209S",Ch2Unknown,"PMMoV","Manual",35.1,One-Step RT-ddPCR Kit for Probes,702,,,38.3,31.8,450,14872,1,27,449,14845,0.0141,15322,,,,,,,,0.061,,,0.085,0.038,5.8,,,7.9,3.7,1,1,2352,3148.8,1668.1,1711.6,"Rare Event Detection Experiment",,,,36.7,33.4,,,,,,,0.073,0.049,,,6.8,4.7,
"C03",Rare Event Detection,"RED","YC210209S-",Ch2Unknown,"PMMoV","Manual",27,One-Step RT-ddPCR Kit for Probes,540,,,29.6,24.5,426,18337,2,27,424,18310,0.0862,18763,,,,,,,,0.067,,,0.093,0.042,6.3,,,8.5,4.1,1,1,2352,3206.8,1730.8,1764.3,"Rare Event Detection Experiment",,,,28.3,25.7,,,,,,,0.08,0.054,,,7.4,5.2,
"C04",Rare Event Detection,"RED","YC210209S-",Ch2Unknown,"PMMoV","Manual",28.1,One-Step RT-ddPCR Kit for Probes,562,,,30.7,25.4,438,18141,0,23,438,18118,0,18579,,,,,,,,0.052,,,0.074,0.03,4.9,,,6.9,3,1,1,2352,3119.6,1694.2,1727.8,"Rare Event Detection Experiment",,,,29.4,26.7,,,,,,,0.063,0.041,,,5.9,3.9,
"C05",Rare Event Detection,"RED","BCoV 2",Ch2Negative Control,"PMMoV","Manual",0.12,One-Step RT-ddPCR Kit for Probes,2.4,,,0.37,0.02,2,20191,2,18141,0,2050,0.117,20193,,,,,,,,,,,,,,,,,,1,1,2352,2878.3,1690,1690.1,"Rare Event Detection Experiment",,,,0.22,0.05,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","YC210210S",Ch2Unknown,"PMMoV","Manual",44.8,One-Step RT-ddPCR Kit for Probes,896,,,48.5,41.2,582,14980,0,26,582,14954,0,15562,,,,,,,,0.044,,,0.061,0.026,4.2,,,5.8,2.6,1,1,2352,3153.1,1792.7,1843.5,"Rare Event Detection Experiment",,,,46.7,43,,,,,,,0.053,0.035,,,5,3.4,
"D02",Rare Event Detection,"RED","YC210210S",Ch2Unknown,"PMMoV","Manual",42,One-Step RT-ddPCR Kit for Probes,840,,,45.8,38.3,481,13228,2,26,479,13202,0.0907,13709,,,,,,,,0.057,,,0.079,0.035,5.4,,,7.4,3.4,1,1,2352,3222.4,1660.2,1715.1,"Rare Event Detection Experiment",,,,43.9,40.1,,,,,,,0.068,0.046,,,6.4,4.4,
"D03",Rare Event Detection,"RED","YC210210S-",Ch2Unknown,"PMMoV","Manual",44.5,One-Step RT-ddPCR Kit for Probes,890,,,48.2,40.8,559,14510,1,43,558,14467,0,15069,,,,,,,,0.077,,,0.101,0.053,7.2,,,9.2,5.1,1,1,2352,3283.8,1684.7,1744,"Rare Event Detection Experiment",,,,46.4,42.6,,,,,,,0.089,0.065,,,8.2,6.1,
"D04",Rare Event Detection,"RED","YC210210S-",Ch2Unknown,"PMMoV","Manual",43.1,One-Step RT-ddPCR Kit for Probes,862,,,46.6,39.5,566,15175,0,20,566,15155,0,15741,,,,,,,,0.035,,,0.05,0.019,3.4,,,4.8,1.9,1,1,2352,3215,1701.8,1756.2,"Rare Event Detection Experiment",,,,44.9,41.3,,,,,,,0.043,0.027,,,4.1,2.6,
